filename,timestamp,date_readable,size_lines,size_bytes,applied_status,risk_level,ops_detected,summary
20240100099999_grant_auth_permissions.sql,20240100099999,2024-01-00 09:99:99,9,376,applied,SAFE,GRANT,Ensure local roles can manage objects inside the auth schema before
20240101000000_initial_schema.sql,20240101000000,2024-01-01 00:00:00,306,13496,applied,CRITIQUE,CREATE EXTENSION|CREATE TABLE|CREATE INDEX,Migration initiale : création du schéma de base
20240101000001_rls_policies.sql,20240101000001,2024-01-01 00:00:01,495,14690,applied,DANGEREUX,ALTER TABLE|CREATE FUNCTION|CREATE POLICY|UPDATE,Migration : Row Level Security (RLS) policies
20240101000002_functions.sql,20240101000002,2024-01-01 00:00:02,137,4092,applied,CRITIQUE,CREATE FUNCTION|INSERT|CREATE TRIGGER,Migration : Fonctions utilitaires et triggers
20240101000003_storage_bucket.sql,20240101000003,2024-01-01 00:00:03,65,1841,applied,DANGEREUX,INSERT|CREATE POLICY,Migration : Configuration du bucket Storage pour les documents
20240101000004_onboarding_tables.sql,20240101000004,2024-01-01 00:00:04,122,4828,applied,CRITIQUE,CREATE TABLE|CREATE INDEX,Migration : Tables pour l'onboarding et les invitations
20240101000005_resend_invitation_function.sql,20240101000005,2024-01-01 00:00:05,47,1401,applied,MODERE,CREATE FUNCTION|UPDATE,Migration : Fonction RPC pour renvoyer une invitation
20240101000006_fix_rls_recursion.sql,20240101000006,2024-01-01 00:00:06,23,1142,applied,SAFE,CREATE FUNCTION,Migration : Correction de la récursion infinie dans user_profile_id
20240101000007_admin_architecture.sql,20240101000007,2024-01-01 00:00:07,372,15372,applied,CRITIQUE,CREATE TABLE,Migration : Architecture Admin complète
20240101000008_admin_rls.sql,20240101000008,2024-01-01 00:00:08,232,6328,applied,DANGEREUX,ALTER TABLE|CREATE POLICY,Migration : RLS Policies pour l'architecture Admin
20240101000009_tenant_advanced.sql,20240101000009,2024-01-01 00:00:09,576,25894,applied,CRITIQUE,CREATE TABLE|CREATE INDEX,Migration : Architecture Locataire avancée
20240101000010_tenant_rls.sql,20240101000010,2024-01-01 00:00:10,487,14569,applied,DANGEREUX,ALTER TABLE|CREATE POLICY|UPDATE,Migration : RLS Policies pour l'architecture Locataire
20240101000011_fix_properties_rls_recursion.sql,20240101000011,2024-01-01 00:00:11,77,3315,applied,DANGEREUX,CREATE FUNCTION|ALTER TABLE|DROP POLICY|UPDATE|CREATE POLICY,Migration : Correction définitive de la récursion infinie dans les politiques RLS
20240101000012_fix_specialized_profiles_rls.sql,20240101000012,2024-01-01 00:00:12,88,3577,applied,DANGEREUX,DROP POLICY|UPDATE|CREATE POLICY,Migration : Correction des politiques RLS pour owner_profiles et tenant_profiles
20240101000013_fix_leases_rls.sql,20240101000013,2024-01-01 00:00:13,150,4912,applied,DANGEREUX,DROP POLICY|UPDATE|CREATE POLICY,Migration : Correction des politiques RLS pour leases et lease_signers
20240101000014_fix_leases_policy_functions.sql,20240101000014,2024-01-01 00:00:14,23,740,applied,DANGEREUX,DROP POLICY|CREATE POLICY,Migration : S'assurer que les politiques utilisent public.user_profile_id() explicitement
20240101000015_fix_leases_rls_recursion.sql,20240101000015,2024-01-01 00:00:15,36,1219,applied,DANGEREUX,DROP POLICY|CREATE POLICY,Migration : Correction de la récursion infinie dans les politiques RLS pour leases
20240101000016_tenant_missing_tables.sql,20240101000016,2024-01-01 00:00:16,233,10376,applied,CRITIQUE,CREATE TABLE|CREATE INDEX,Migration : Tables manquantes pour compte Locataire
20240101000017_tenant_missing_rls.sql,20240101000017,2024-01-01 00:00:17,222,6267,applied,DANGEREUX,ALTER TABLE|CREATE POLICY,Migration : RLS Policies pour les nouvelles tables Locataire
20240101000018_missing_core_tables.sql,20240101000018,2024-01-01 00:00:18,234,10518,applied,CRITIQUE,CREATE TABLE|CREATE INDEX|CREATE VIEW,Migration : Tables manquantes pour fonctionnalités critiques
20240101000019_missing_rls.sql,20240101000019,2024-01-01 00:00:19,297,8735,applied,DANGEREUX,ALTER TABLE|CREATE POLICY,Migration : RLS Policies pour les nouvelles tables
20240101000020_add_paused_status_tickets.sql,20240101000020,2024-01-01 00:00:20,11,262,applied,SAFE,ALTER TABLE,Migration : Ajouter le statut 'paused' aux tickets
20240101000021_add_notifications_table.sql,20240101000021,2024-01-01 00:00:21,46,1643,applied,CRITIQUE,CREATE TABLE|ALTER TABLE|CREATE INDEX|DROP POLICY|CREATE POLICY|UPDATE|CREATE TRIGGER,Migration : Table notifications pour le worker event bus
20240101000022_add_lease_states.sql,20240101000022,2024-01-01 00:00:22,35,1050,applied,DANGEREUX,ALTER TABLE|CREATE INDEX,Migration : Ajouter les états manquants pour les baux
20240101000023_idempotency_and_2fa.sql,20240101000023,2024-01-01 00:00:23,36,1467,applied,CRITIQUE,CREATE TABLE|CREATE INDEX|DELETE|ALTER TABLE,Migration : Table pour idempotency keys et colonnes 2FA
20240101000024_update_api_credentials_table.sql,20240101000024,2024-01-01 00:00:24,42,2175,applied,CRITIQUE,ALTER TABLE|CREATE INDEX,Migration : Mise à jour de la table api_credentials pour ajouter les colonnes nécessaires
20240101000025_add_provider_validation.sql,20240101000025,2024-01-01 00:00:25,84,2985,applied,CRITIQUE,ALTER TABLE|CREATE INDEX|DROP POLICY|CREATE POLICY,Migration : Ajout du système de validation des prestataires
20240101000026_fix_provider_rls.sql,20240101000026,2024-01-01 00:00:26,43,1224,applied,DANGEREUX,DROP POLICY|CREATE POLICY|UPDATE,Migration de correction : Fix de la politique RLS pour les admins sur provider_profiles
202411140001_fix_auth_helper_functions.sql,202411140001,2024-11-14 00:01:00,95,2090,applied,SAFE,CREATE FUNCTION,Migration : sécuriser public.user_profile_id() et public.user_role()
202411140100_expand_commercial_capabilities.sql,202411140100,2024-11-14 01:00:00,295,8788,applied,DANGEREUX,ALTER TABLE,Migration : extension du modèle pour les baux commerciaux et professionnels
